country,Year,predicted_wind_generation_generation,predicted_wind_consumption_consumption
Africa,2021,19.430104133320985,23.947795053429545
Africa,2022,20.673222630628878,25.888327081710706
Africa,2023,20.466060089078482,28.486441077939222
Africa,2024,21.371254041483315,31.218189916231246
Africa,2025,21.609988991257033,33.42596019770126
Africa,2026,22.077346683844073,34.88729595166346
Africa,2027,22.519792114891196,36.43250345895163
Algeria,2021,0.02170051607274278,0.011469506436700801
Algeria,2022,0.016345709639680156,0.011793324500787883
Algeria,2023,0.013123441800637986,0.013641390723122043
Algeria,2024,0.015842767604701043,0.012424407503473312
Algeria,2025,0.010169484767588449,0.012408484852286664
Algeria,2026,0.01465244521981316,0.011269160966369079
Algeria,2027,0.01730135479618529,0.011613589863534824
Argentina,2021,13.52898994080962,13.654645707089525
Argentina,2022,17.441441727651565,15.990049667742623
Argentina,2023,21.14695452856002,16.223388005302265
Argentina,2024,23.242243714507005,15.855840206211784
Argentina,2025,23.805577995024017,15.35178372418824
Argentina,2026,23.853293147034673,15.537440551978827
Argentina,2027,23.776738536651614,16.159367432001204
Asia Pacific,2021,656.9949708272029,656.9970627477228
Asia Pacific,2022,746.3966064235542,746.3960756456959
Asia Pacific,2023,820.4498542190619,820.4477104270641
Asia Pacific,2024,880.3895230665058,880.3855101416989
Asia Pacific,2025,951.0241318511872,951.0209178236504
Asia Pacific,2026,1035.3881907527166,1035.3843368250168
Asia Pacific,2027,1117.801443952502,1117.7931717277977
Australia,2021,21.900600319856956,26.181303623588644
Australia,2022,24.470151243355446,30.319545625614808
Australia,2023,26.836938373519562,33.89307779550057
Australia,2024,29.47974621368509,36.9175796650006
Australia,2025,30.97897982360846,40.35266055662526
Australia,2026,33.186856394555505,43.43719443965547
Australia,2027,35.249493952818675,46.06712160586341
Austria,2021,8.05713155219362,8.113360728080103
Austria,2022,7.729470166280347,7.7346576949541905
Austria,2023,9.000715077641864,9.057142855483443
Austria,2024,9.013891792097294,8.99283048732836
Austria,2025,10.058795906013472,10.08691832554879
Austria,2026,10.35979817994878,10.296628331081418
Austria,2027,10.920462466762125,10.91992494286727
Azerbaijan,2021,0.12532321240108407,0.13467527522778042
Azerbaijan,2022,0.09755750060731655,0.12102217644838759
Azerbaijan,2023,0.09003004222494387,0.10664909579587983
Azerbaijan,2024,0.09039517991928848,0.11969057189459612
Azerbaijan,2025,0.07398528690457223,0.10280717988056776
Azerbaijan,2026,0.08906933959516544,0.10215059575975391
Azerbaijan,2027,0.09462974339391406,0.10720476444496145
Bangladesh,2021,0.009999999999999998,0.005081
Bangladesh,2022,0.009999999999999993,0.005081
Bangladesh,2023,0.009999999999999993,0.005081
Bangladesh,2024,0.009999999999999993,0.005081
Bangladesh,2025,0.009999999999999993,0.005081
Bangladesh,2026,0.009999999999999993,0.005081
Bangladesh,2027,0.009999999999999993,0.005081
Belarus,2021,0.18205753458395654,0.20670544871904734
Belarus,2022,0.24636755188873802,0.2257041900578229
Belarus,2023,0.2506586158892877,0.27682444288845737
Belarus,2024,0.24542473063739412,0.28442392904647057
Belarus,2025,0.2767775231656355,0.3045191391953833
Belarus,2026,0.28076838166975854,0.3238386676111784
Belarus,2027,0.28065203791029597,0.35579703449001
Belgium,2021,16.447374384346986,17.221105256146785
Belgium,2022,19.347990616199766,20.870168155121263
Belgium,2023,22.5851594401676,24.94760981019287
Belgium,2024,24.839175211007568,27.864608115581856
Belgium,2025,26.883888519516795,30.44282975884343
Belgium,2026,28.65834597127411,32.547561883975085
Belgium,2027,30.84654797114667,34.86525610339024
Brazil,2021,54.18825896029394,54.25072128106235
Brazil,2022,48.25185966086106,47.6699389476437
Brazil,2023,43.22774794093968,42.74770372069986
Brazil,2024,38.523828672135615,37.77872169574616
Brazil,2025,33.161422235500986,32.43780927946108
Brazil,2026,31.376285269933362,30.437354411666234
Brazil,2027,32.66582682335476,31.829717051563623
Bulgaria,2021,1.4760276312638194,1.4747185225262622
Bulgaria,2022,1.6097861783009964,1.6053137892935654
Bulgaria,2023,1.602281394232687,1.594220979770981
Bulgaria,2024,1.6949192498463126,1.6904355954265666
Bulgaria,2025,1.7244812919624144,1.7176220593278182
Bulgaria,2026,1.685218672607942,1.6792425020677293
Bulgaria,2027,1.7420689316572469,1.7344548445545371
CIS,2021,4.51431706712515,4.523726156715403
CIS,2022,7.018507752467077,7.03919574290495
CIS,2023,9.600772612354579,9.607394769836278
CIS,2024,12.05550712720563,11.96403055712365
CIS,2025,14.120796672181049,13.78619554592948
CIS,2026,15.93026650700012,15.180855167644005
CIS,2027,17.49700581775906,16.193436879660506
Canada,2021,38.718796256614304,44.94931534379536
Canada,2022,41.70726879768076,47.28828666449555
Canada,2023,45.08858799704015,47.499337244607965
Canada,2024,46.981296218687106,48.96020978203447
